Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold,Festival_Name,Festival_Type,UPC_EAN,Product_Name,Sub_Category,Brand_Name,Brand_Tier,Shelf_Life_Days,No_of_Checkout_Counters,Avg_Billing_Time_min,Local_Population_Density,Product_Age_Days,No_of_Customer_Purchases,Unit_Cost,Promotional_Campaign_Flag,Competitor_Promotion_Flag,Google_Trends_Current_Wk,Google_Trends_Lag_1w,Shelf_Capacity,Promotion_Type,Marketing_Spend,Payday_Flag,School_Vacation_Flag,Local_Event_Flag,Launch_Date,Seasonal_Product_Flag,Online_Sales_Units,In_Store_Sales_Units,App_Traffic_Index,Website_Visits,Backorder_Flag,Supplier_Delay_Days,Fill_Rate_Pct,Loyalty_Program_Usage_Count,Repeat_Purchase_Rate,Avg_Basket_Size,Unit_Margin,Gross_Profit,Profit_Density,Stocking_Priority_Score,Stocking_Priority_Class,text_template
04/13/2023,3,4,2023,0,0,1002,Grocery,410.09,0.01,405.99,15,Urban,411.58,127.6,29.1,8.5,0.63,7,141,471,83,Unknown,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,6,5.9,12371,228,22,322.2,0,0,32,32,30,Unknown,1247,0,0,0,08/28/2022,1,12,71,488,896,0,0,88.93,11,0.14,3.77,83.79000000000002,6954.5700000000015,231.81900000000005,0.3016604761907607,Medium,Category: Grocery | Product: Nestle Beverages 1002 | SubCategory: Beverages | Brand: Nestle | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Urban
12/15/2023,4,12,2023,0,0,1014,Home,89.98,0.3,62.99,7,Rural,90.37,56.9,1.9,5.3,0.35,11,59,263,102,Unknown,,7203826864190,Tupperware Decor 1014,Decor,Tupperware,Budget,2244,11,5.2,1046,1822,69,47.96,1,1,77,32,99,Flash Sale,1942,0,1,0,12/19/2018,1,31,71,619,1406,0,2,90.16,31,0.14,1.48,15.030000000000001,1533.0600000000002,15.485454545454548,0.37093872330277555,High,Category: Home | Product: Tupperware Decor 1014 | SubCategory: Decor | Brand: Tupperware | BrandTier: Budget | Promotion: Flash Sale | Festival: Unknown | StoreType: Rural
09/28/2023,3,9,2023,0,0,1015,Electronics,404.88,0.14,348.2,17,Urban,408.07,191.8,14.5,2.8,0.77,4,111,302,89,Unknown,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,11,7.4,9278,1759,83,319.44,0,1,19,77,71,Unknown,1042,0,0,0,12/04/2018,0,32,57,626,1432,0,6,88.0,23,0.38,1.07,28.75999999999999,2559.6399999999994,36.0512676056338,0.21814008011998778,Low,Category: Electronics | Product: Sony Computers 1015 | SubCategory: Computers | Brand: Sony | BrandTier: Mid | Promotion: Unknown | Festival: Unknown | StoreType: Urban
04/17/2023,0,4,2023,0,0,1012,Grocery,347.97,0.43,198.34,12,Urban,349.2,71.6,24.4,1.3,0.86,11,38,389,98,Unknown,,16104203210,Nestle Spices 1012,Spices,Nestle,Premium,7,8,4.4,7650,1330,21,266.76,1,0,33,19,28,Flash Sale,4105,0,0,0,08/26/2019,0,32,66,626,1432,0,2,91.17,7,0.13,4.67,-68.41999999999999,-6705.159999999999,-239.46999999999997,0.14156736200939696,Low,Category: Grocery | Product: Nestle Spices 1012 | SubCategory: Spices | Brand: Nestle | BrandTier: Premium | Promotion: Flash Sale | Festival: Unknown | StoreType: Urban
03/13/2023,0,3,2023,0,0,1016,Grocery,280.16,0.14,240.94,18,Urban,252.64,185.5,26.0,0.4,0.36,14,46,262,100,Unknown,,8572879201082,Tata Spices 1016,Spices,Tata,Premium,10,13,2.6,5779,1127,46,172.32,0,1,60,33,95,Unknown,706,0,0,0,02/10/2020,0,23,77,564,1191,0,0,89.39,9,0.16,2.17,68.62,6862.0,72.23157894736842,0.25116163857036367,Low,Category: Grocery | Product: Tata Spices 1016 | SubCategory: Spices | Brand: Tata | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Urban
07/08/2023,5,7,2023,1,0,1002,Beauty,351.27,0.34,231.84,14,Urban,316.26,62.5,26.4,3.8,0.53,6,172,211,83,Unknown,,8588322527842,L'oreal Makeup 1002,Makeup,L'oreal,Mid,577,5,2.1,7326,1452,22,290.92,1,0,93,60,86,BOGO,3951,0,0,0,07/17/2019,0,24,59,571,1218,0,3,85.62,6,0.38,3.77,-59.08000000000001,-4903.640000000001,-57.01906976744188,0.1544399144807867,Low,Category: Beauty | Product: L'oreal Makeup 1002 | SubCategory: Makeup | Brand: L'oreal | BrandTier: Mid | Promotion: BOGO | Festival: Unknown | StoreType: Urban
01/21/2023,5,1,2023,1,0,1019,Clothing,208.95,0.34,137.91,15,Urban,192.14,173.4,4.1,23.2,0.12,9,157,464,110,Unknown,,5162036505785,Zara Formalwear 1019,Formalwear,Zara,Budget,624,6,5.9,12371,335,48,120.06,1,0,33,93,61,Flash Sale,4679,0,0,0,02/20/2022,0,39,71,674,1620,0,1,86.5,28,0.23,2.29,17.849999999999994,1963.4999999999993,32.18852459016392,0.22800737660040976,Low,Category: Clothing | Product: Zara Formalwear 1019 | SubCategory: Formalwear | Brand: Zara | BrandTier: Budget | Promotion: Flash Sale | Festival: Unknown | StoreType: Urban
04/13/2023,3,4,2023,0,1,1010,Clothing,73.51,0.11,65.42,15,Rural,67.65,72.8,2.7,6.7,0.42,12,172,163,103,Unknown,,9907038161151,Zara Activewear 1010,Activewear,Zara,Premium,611,13,3.1,1680,300,33,41.17,0,1,80,33,96,Unknown,1029,0,0,0,06/17/2022,0,31,72,619,1406,0,1,90.53,6,0.2,3.12,24.25,2497.75,26.018229166666668,0.27886371810129096,Medium,Category: Clothing | Product: Zara Activewear 1010 | SubCategory: Activewear | Brand: Zara | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Rural
05/02/2023,1,5,2023,0,0,1018,Electronics,334.55,0.02,327.86,5,Rural,348.26,55.7,18.6,2.0,0.36,14,139,135,70,Unknown,,2386552824760,Samsung Computers 1018,Computers,Samsung,Budget,1112,13,2.3,682,1731,49,186.13,0,1,13,80,44,Unknown,924,1,1,0,08/05/2018,0,19,51,536,1084,0,2,91.48,20,0.16,1.43,141.73000000000002,9921.100000000002,225.4795454545455,0.37943220367177133,High,Category: Electronics | Product: Samsung Computers 1018 | SubCategory: Computers | Brand: Samsung | BrandTier: Budget | Promotion: Unknown | Festival: Unknown | StoreType: Rural
08/03/2023,3,8,2023,0,0,1010,Home,264.71,0.2,211.77,16,Urban,249.09,157.9,24.6,8.8,0.18,6,125,251,112,Unknown,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,3,2.2,9314,496,39,203.14,1,0,16,13,108,BOGO,5428,1,0,0,03/25/2022,0,30,82,612,1379,0,0,97.26,16,0.11,2.87,8.630000000000024,966.5600000000027,8.949629629629655,0.4776867692890213,High,Category: Home | Product: Ikea Kitchenware 1010 | SubCategory: Kitchenware | Brand: Ikea | BrandTier: Mid | Promotion: BOGO | Festival: Unknown | StoreType: Urban
11/27/2023,0,11,2023,0,0,1015,Electronics,321.49,0.14,276.48,5,Urban,346.87,92.0,7.8,7.3,0.89,4,67,204,108,Unknown,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,11,6.6,5663,1759,55,272.84,0,1,43,16,29,Unknown,1015,0,0,0,02/02/2019,0,39,69,674,1620,0,2,87.32,26,0.32,1.96,3.640000000000043,393.12000000000467,13.555862068965679,0.2586496732097577,Low,Category: Electronics | Product: Sony Computers 1015 | SubCategory: Computers | Brand: Sony | BrandTier: Mid | Promotion: Unknown | Festival: Unknown | StoreType: Urban
